Sentencing.court,Aggravating.72,Mitigating.36,disorder,affray,GBH,intent,common,custody
12,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
12,,,,,grievous bodily harm,,,immediate custody
12,,,,,grievous bodily harm,,,immediate custody
12,,genuine remorse,,,grievous bodily harm,,,
12,,,,,grievous bodily harm,,,immediate custody
12,,genuine remorse,,,grievous bodily harm,,,immediate custody
12,,,,,grievous bodily harm,,,
12,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
12,,,,,grievous bodily harm,,,immediate custody
12,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,
12,under influence drugs/alcohol,,,,grievous bodily harm,,,
12,,genuine remorse,,,grievous bodily harm,,,
12,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
12,,,,,grievous bodily harm,,,immediate custody
12,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
